,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
331,Javi Martínez\3672b352,es ESP,MFFW,Osasuna,20,1999,13,6,460,5.1,1,1,1,0,0,1,0,0.20,0.20,0.39,0.20,0.39,0.6,0.6,0.5,1.1,0.11,0.10,0.21,0.11,0.21,Matches
332,Marvin\efaefda0,es ESP,DFFW,Real Madrid,20,2000,4,2,133,1.5,0,1,0,0,0,0,0,0.00,0.68,0.68,0.00,0.68,0.2,0.2,0.2,0.4,0.11,0.13,0.24,0.11,0.24,Matches
333,Jordi Masip\8fae77ea,es ESP,GK,Valladolid,31,1989,25,25,2250,25.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
334,Jaime Mata\02319ad7,es ESP,FW,Getafe,31,1988,33,23,2037,22.6,5,0,4,1,2,9,1,0.22,0.00,0.22,0.18,0.18,6.6,5.1,1.2,6.3,0.29,0.05,0.34,0.23,0.28,Matches
335,Borja Mayoral\64e8ed6d,es ESP,FW,Real Madrid,23,1997,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
336,Gonzalo Melero\3902e91b,es ESP,MFFW,Levante,26,1994,29,21,1853,20.6,7,1,7,0,0,4,0,0.34,0.05,0.39,0.34,0.39,3.1,3.1,1.7,4.8,0.15,0.08,0.23,0.15,0.23,Matches
337,Brais Méndez\c9e39d91,es ESP,MFFW,Celta Vigo,23,1997,34,30,2671,29.7,9,0,8,1,1,8,0,0.30,0.00,0.30,0.27,0.27,7.5,6.7,2.0,8.7,0.25,0.07,0.32,0.23,0.29,Matches
338,Édgar Méndez\aed746df,es ESP,MFFW,Alavés,30,1990,33,26,2090,23.2,5,1,5,0,0,12,1,0.22,0.04,0.26,0.22,0.26,5.4,5.4,1.4,6.9,0.23,0.06,0.30,0.23,0.30,Matches
339,Eñaut Mendía\aa7da569,es ESP,FW,Eibar,21,1999,1,1,61,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
340,Ferland Mendy\3cefcaef,fr FRA,DF,Real Madrid,25,1995,26,24,2208,24.5,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,0.6,0.6,1.7,2.3,0.02,0.07,0.09,0.02,0.09,Matches
341,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,24,1996,26,25,2154,23.9,2,4,2,0,0,5,0,0.08,0.17,0.25,0.08,0.25,3.7,3.7,2.1,5.8,0.16,0.09,0.24,0.16,0.24,Matches
342,Martín Merquelanz\ddd5348b,es ESP,FWMF,Real Sociedad,25,1995,13,4,549,6.1,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,1.1,1.1,1.8,2.9,0.19,0.29,0.47,0.19,0.47,Matches
343,Roque Mesa\7c4243d4,es ESP,MF,Valladolid,31,1989,25,21,1761,19.6,1,0,0,1,1,4,1,0.05,0.00,0.05,0.00,0.00,1.7,0.9,1.1,2.0,0.08,0.06,0.14,0.05,0.10,Matches
344,Lionel Messi\d70ce98e,ar ARG,FWMF,Barcelona,33,1987,35,33,3023,33.6,30,9,27,3,5,4,0,0.89,0.27,1.16,0.80,1.07,23.6,19.5,10.8,30.3,0.70,0.32,1.03,0.58,0.90,Matches
345,Omenuke Mfulu\bdc14559,cd COD,MF,Elche,26,1994,20,9,789,8.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
346,Míchel\418f8f61,es ESP,MF,Valladolid,32,1988,22,10,946,10.5,2,0,2,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.6,0.6,0.8,1.3,0.05,0.07,0.13,0.05,0.13,Matches
347,Éder Militão\2784f898,br BRA,DF,Real Madrid,22,1998,14,13,1133,12.6,1,0,1,0,0,3,1,0.08,0.00,0.08,0.08,0.08,1.1,1.1,0.0,1.1,0.09,0.00,0.09,0.09,0.09,Matches
348,Luis Milla\19c36442,es ESP,MF,Granada,25,1994,16,14,1253,13.9,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,2.1,2.6,0.04,0.15,0.19,0.04,0.19,Matches
349,Pere Milla\335039a2,es ESP,FWMF,Elche,27,1992,32,22,1981,22.0,4,3,4,0,0,6,0,0.18,0.14,0.32,0.18,0.32,5.6,5.6,1.7,7.3,0.26,0.08,0.33,0.26,0.33,Matches
350,Álex Millán\29ad0dd4,es ESP,FW,Villarreal,20,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
351,Santi Mina\0b90bb97,es ESP,FW,Celta Vigo,24,1995,34,29,2412,26.8,12,3,11,1,1,4,0,0.45,0.11,0.56,0.41,0.52,8.8,8.0,1.5,9.5,0.33,0.05,0.38,0.30,0.35,Matches
352,Óscar Mingueza\056269d7,es ESP,DF,Barcelona,21,1999,27,23,1901,21.1,2,2,2,0,0,4,0,0.09,0.09,0.19,0.09,0.19,1.0,1.0,1.0,2.0,0.05,0.05,0.09,0.05,0.09,Matches
353,Rafa Mir\bbf5c11b,es ESP,FW,Huesca,23,1997,38,32,2877,32.0,13,1,11,2,3,2,0,0.41,0.03,0.44,0.34,0.38,13.6,11.4,1.8,13.2,0.43,0.06,0.48,0.36,0.41,Matches
354,Jorge Miramón\7f4c7c9f,es ESP,DF,Levante,31,1989,26,19,1732,19.2,0,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,0.7,0.7,1.3,2.0,0.04,0.07,0.10,0.04,0.10,Matches
355,Juan Miranda\ead61f73,es ESP,DF,Betis,20,2000,22,18,1652,18.4,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,0.6,0.6,1.3,1.9,0.03,0.07,0.10,0.03,0.10,Matches
356,Luka Modrić\6025fab1,hr CRO,MF,Real Madrid,34,1985,35,32,2733,30.4,5,3,5,0,0,4,0,0.16,0.10,0.26,0.16,0.26,2.7,2.7,4.0,6.8,0.09,0.13,0.22,0.09,0.22,Matches
357,Johan Mojica\608f2092,co COL,DF,Elche,27,1992,17,14,1204,13.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.01,0.06,0.07,0.01,0.07,Matches
358,Guillem Molina\0bbab654,es ESP,DF,Valencia,20,2000,2,1,153,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
359,Jorge Molina\43f71e77,es ESP,FWMF,Granada,38,1982,33,17,1615,17.9,8,2,8,0,1,3,0,0.45,0.11,0.56,0.45,0.56,5.0,4.3,2.2,6.5,0.28,0.12,0.40,0.24,0.36,Matches
360,Victor Mollejo\23fffc06,es ESP,MFDF,Getafe,19,2001,4,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08,Matches
361,Jon Moncayola\9939e168,es ESP,MF,Osasuna,22,1998,36,28,2660,29.6,2,0,2,0,0,7,1,0.07,0.00,0.07,0.07,0.07,1.5,1.5,1.3,2.7,0.05,0.04,0.09,0.05,0.09,Matches
362,Nacho Monreal\d4cb83cc,es ESP,DF,Real Sociedad,34,1986,26,23,2082,23.1,1,1,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,0.8,0.8,1.2,2.0,0.03,0.05,0.08,0.03,0.08,Matches
363,Ángel Montoro\719384c1,es ESP,MF,Granada,32,1988,22,17,1362,15.1,1,1,0,1,1,6,0,0.07,0.07,0.13,0.00,0.07,1.4,0.7,1.6,2.3,0.09,0.11,0.20,0.04,0.15,Matches
364,Martín Montoya\5cec2487,es ESP,DF,Betis,29,1991,5,2,239,2.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.02,0.13,0.15,0.02,0.15,Matches
365,Emre Mor\0c3f7197,tr TUR,FWMF,Celta Vigo,23,1997,11,6,500,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.06,0.03,0.10,0.06,0.10,Matches
366,Jon Morcillo\b7d7f3bf,es ESP,MFFW,Athletic Club,21,1998,30,16,1363,15.1,2,2,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,1.5,1.5,2.9,4.4,0.10,0.19,0.29,0.10,0.29,Matches
367,Alberto Moreno\11b9265b,es ESP,DF,Villarreal,28,1992,5,2,193,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.12,0.00,0.12,0.12,0.12,Matches
368,Álex Moreno\16e9d0ea,es ESP,DF,Betis,27,1993,23,20,1786,19.8,0,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,2.1,2.8,0.04,0.10,0.14,0.04,0.14,Matches
369,Gerard Moreno\81f0781e,es ESP,FWMF,Villarreal,28,1992,33,30,2673,29.7,23,7,13,10,10,3,0,0.77,0.24,1.01,0.44,0.67,19.1,11.6,7.6,19.2,0.64,0.25,0.90,0.39,0.65,Matches
370,Tete Morente\004d185e,es ESP,MFFW,Elche,23,1996,30,23,2019,22.4,2,5,2,0,0,5,0,0.09,0.22,0.31,0.09,0.31,2.4,2.4,2.4,4.8,0.11,0.11,0.21,0.11,0.21,Matches
371,Ilaix Moriba\f4c69aa6,gn GUI,MF,Barcelona,17,2003,14,4,542,6.0,1,2,1,0,0,1,0,0.17,0.33,0.50,0.17,0.50,1.2,1.2,0.8,2.0,0.19,0.14,0.33,0.19,0.33,Matches
372,Loren Morón\3aa4a3be,es ESP,FWMF,Betis,26,1993,26,9,991,11.0,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,2.4,2.4,0.4,2.8,0.22,0.03,0.25,0.22,0.25,Matches
373,Pedro Mosquera\c5fa58ea,es ESP,MF,Huesca,32,1988,27,24,2050,22.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.01,0.03,0.04,0.01,0.04,Matches
374,Javi Moyano\933e8c8a,es ESP,DF,Valladolid,34,1986,2,2,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
375,Iker Muniain\c05dfb74,es ESP,MFFW,Athletic Club,27,1992,28,23,1943,21.6,5,3,5,0,0,1,0,0.23,0.14,0.37,0.23,0.37,3.9,3.9,3.0,6.9,0.18,0.14,0.32,0.18,0.32,Matches
376,Aihen Muñoz\228b0d9d,es ESP,DF,Real Sociedad,22,1997,16,14,1210,13.4,0,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.6,0.9,0.02,0.05,0.07,0.02,0.07,Matches
377,Joaquín Muñoz\e9fbcc21,es ESP,FW,Huesca,21,1999,3,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
378,Jeison Murillo\b233e8e4,co COL,DF,Celta Vigo,28,1992,31,31,2699,30.0,2,0,2,0,0,11,1,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.2,0.6,0.02,0.01,0.02,0.02,0.02,Matches
379,Yunus Musah\b51b1b9c,us USA,MF,Valencia,17,2002,32,17,1530,17.0,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.8,1.5,0.04,0.04,0.09,0.04,0.09,Matches
380,Yoshinori Mutō\5343eb4e,jp JPN,FWMF,Eibar,28,1992,26,13,1122,12.5,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,2.0,2.0,1.1,3.1,0.16,0.09,0.25,0.16,0.25,Matches
381,Nacho\2946f9a1,es ESP,DF,Real Madrid,30,1990,24,22,2000,22.2,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,1.5,1.5,0.4,1.9,0.07,0.02,0.09,0.07,0.09,Matches
382,Nacho\e29d1111,es ESP,DF,Valladolid,31,1989,23,21,1813,20.1,0,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,1.6,1.9,0.02,0.08,0.09,0.02,0.09,Matches
383,Nano\217011a0,es ESP,FW,Cádiz,25,1995,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
384,Roberto Navarro\c997b942,es ESP,MF,Real Sociedad,18,2002,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07,Matches
385,Ximo Navarro\8db394aa,es ESP,DF,Alavés,30,1990,31,28,2375,26.4,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,1.0,1.3,0.01,0.04,0.05,0.01,0.05,Matches
386,Jesús Navas\3f10bd22,es ESP,DF,Sevilla,34,1985,34,34,2827,31.4,0,6,0,0,0,4,0,0.00,0.19,0.19,0.00,0.19,1.0,1.0,5.3,6.3,0.03,0.17,0.20,0.03,0.20,Matches
387,Raúl Navas\ad178594,es ESP,DF,Osasuna,32,1988,2,2,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
388,Álvaro Negredo\63b0ca6b,es ESP,FW,Cádiz,34,1985,35,29,2198,24.4,8,4,8,0,0,5,1,0.33,0.16,0.49,0.33,0.49,6.3,6.3,3.6,9.9,0.26,0.15,0.40,0.26,0.40,Matches
389,Neto\a9dc785c,br BRA,GK,Barcelona,31,1989,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
390,Carlos Neva\8d47bb39,es ESP,DF,Granada,24,1996,22,21,1797,20.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.02,0.01,0.03,0.02,0.03,Matches
391,Mamor Niang\64a76620,sn SEN,FWMF,Getafe,18,2002,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.24,0.00,0.24,0.24,0.24,Matches
392,Nieto\3afeb49f,es ESP,FWMF,Cádiz,22,1998,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.73,0.00,1.73,1.73,1.73,Matches
393,Saúl Ñíguez\c14bc029,es ESP,MFDF,Atlético Madrid,25,1994,33,22,2033,22.6,2,1,2,0,1,10,0,0.09,0.04,0.13,0.09,0.13,2.7,1.8,2.0,3.8,0.12,0.09,0.21,0.08,0.17,Matches
394,Nino\03dc5b1f,es ESP,MFFW,Elche,40,1980,16,0,284,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.1,0.10,0.25,0.35,0.10,0.35,Matches
395,Fernando Niño\81d5c497,es ESP,FW,Villarreal,19,2000,17,8,593,6.6,3,0,3,0,0,1,0,0.46,0.00,0.46,0.46,0.46,4.3,4.3,0.2,4.5,0.66,0.03,0.69,0.66,0.69,Matches
396,Nolito\b2d0ec1b,es ESP,MFFW,Celta Vigo,33,1986,36,35,2597,28.9,7,5,7,0,0,7,0,0.24,0.17,0.42,0.24,0.42,6.5,6.5,5.8,12.3,0.23,0.20,0.43,0.23,0.43,Matches
397,Unai Núñez\be170419,es ESP,DF,Athletic Club,23,1997,25,23,2109,23.4,1,1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,1.8,1.8,0.7,2.5,0.08,0.03,0.11,0.08,0.11,Matches
398,Kelechi Nwakali\877f31c2,ng NGA,MFFW,Huesca,22,1998,5,1,141,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
399,Allan Nyom\97572117,cm CMR,MFDF,Getafe,32,1988,31,28,2323,25.8,0,2,0,0,0,10,1,0.00,0.08,0.08,0.00,0.08,0.6,0.6,2.1,2.7,0.02,0.08,0.11,0.02,0.11,Matches
400,Jan Oblak\ee8508c0,si SVN,GK,Atlético Madrid,27,1993,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
401,Lucas Ocampos\a08b974a,ar ARG,FW,Sevilla,26,1994,34,30,2631,29.2,5,4,1,4,5,3,0,0.17,0.14,0.31,0.03,0.17,10.6,6.8,3.6,10.5,0.36,0.12,0.49,0.23,0.36,Matches
402,Álvaro Odriozola\1d1691ad,es ESP,DF,Real Madrid,24,1995,13,9,829,9.2,2,0,2,0,0,0,0,0.22,0.00,0.22,0.22,0.22,0.7,0.7,0.6,1.3,0.08,0.07,0.14,0.08,0.14,Matches
403,Shinji Okazaki\68796d61,jp JPN,FWMF,Huesca,34,1986,25,14,1128,12.5,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,2.0,2.0,0.3,2.3,0.16,0.03,0.18,0.16,0.18,Matches
404,Lucas Olaza\4cee5954,uy URU,DF,Valladolid,26,1994,14,14,1260,14.0,1,1,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,0.6,0.6,1.0,1.5,0.04,0.07,0.11,0.04,0.11,Matches
405,Lucas Olaza\4cee5954,uy URU,DF,Celta Vigo,26,1994,18,18,1615,17.9,0,2,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,2.2,2.6,0.02,0.12,0.14,0.02,0.14,Matches
406,Christian Oliva\d3b888e3,uy URU,MF,Valencia,24,1996,9,1,198,2.2,0,2,0,0,0,0,0,0.00,0.91,0.91,0.00,0.91,0.0,0.0,0.2,0.2,0.01,0.08,0.09,0.01,0.09,Matches
407,Kiko Olivas\72b07a9c,es ESP,DFMF,Valladolid,31,1988,5,1,177,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
408,Paulo Oliveira\a8fbae1d,pt POR,DF,Eibar,28,1992,31,29,2641,29.3,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,0.6,0.6,0.2,0.7,0.02,0.01,0.02,0.02,0.02,Matches
409,Mathías Olivera\41c12f75,uy URU,DF,Getafe,22,1997,31,30,2614,29.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,2.4,2.4,1.7,4.1,0.08,0.06,0.14,0.08,0.14,Matches
410,Javier Ontiveros\a83d8b0c,es ESP,FWMF,Huesca,22,1997,20,10,918,10.2,2,1,1,1,1,5,0,0.20,0.10,0.29,0.10,0.20,1.9,1.1,1.6,2.7,0.18,0.16,0.34,0.11,0.27,Matches
411,Fabián Orellana\c90977db,cl CHI,MFFW,Valladolid,34,1986,30,27,2138,23.8,6,2,2,4,4,5,0,0.25,0.08,0.34,0.08,0.17,5.9,2.9,4.0,6.9,0.25,0.17,0.42,0.12,0.29,Matches
412,Mikel Oyarzabal\8c3c640c,es ESP,FWMF,Real Sociedad,23,1997,33,30,2408,26.8,11,8,5,6,7,1,0,0.41,0.30,0.71,0.19,0.49,10.8,5.5,5.9,11.4,0.41,0.22,0.63,0.20,0.42,Matches
413,Fernando Pacheco\97852360,es ESP,GK,Alavés,28,1992,38,37,3349,37.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
414,Jon Pacheco\44150beb,es ESP,DF,Real Sociedad,19,2001,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
415,Helibelton Palacios\ac8b2421,co COL,DF,Elche,27,1993,11,8,743,8.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
416,Ante Palaversa\cd9b37a3,hr CRO,MF,Getafe,20,2000,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.57,0.57,0.00,0.57,Matches
417,Daniel Parejo\7460ca0d,es ESP,MF,Villarreal,31,1989,36,36,3112,34.6,3,5,3,0,0,4,0,0.09,0.14,0.23,0.09,0.23,1.4,1.4,5.4,6.8,0.04,0.16,0.20,0.04,0.20,Matches
418,Thomas Partey\529f49ab,gh GHA,MF,Atlético Madrid,27,1993,3,2,200,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
419,Gabriel Paulista\b7ca5c51,br BRA,DF,Valencia,29,1990,31,31,2716,30.2,4,1,4,0,0,6,0,0.13,0.03,0.17,0.13,0.17,0.9,0.9,0.1,1.1,0.03,0.00,0.04,0.03,0.04,Matches
420,Alfonso Pedraza\63f04c6c,es ESP,DF,Villarreal,24,1996,29,24,2093,23.3,1,2,1,0,0,8,0,0.04,0.09,0.13,0.04,0.13,1.8,1.8,4.7,6.5,0.08,0.20,0.28,0.08,0.28,Matches
421,Pedri\0d9b2d31,es ESP,MF,Barcelona,17,2002,37,28,2415,26.8,3,3,3,0,0,2,0,0.11,0.11,0.22,0.11,0.22,3.9,3.8,4.7,8.5,0.15,0.18,0.32,0.14,0.32,Matches
422,Facundo Pellistri\ac7e7b1c,uy URU,MFFW,Alavés,18,2001,12,5,542,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.06,0.01,0.07,0.06,0.07,Matches
423,Rubén Peña\1f079188,es ESP,DFMF,Villarreal,29,1991,19,12,1116,12.4,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,0.5,0.5,0.4,1.0,0.04,0.04,0.08,0.04,0.08,Matches
424,Pepe\6583a8a9,es ESP,DF,Granada,20,2000,3,3,253,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
425,Alberto Perea\5496cc91,es ESP,MF,Cádiz,29,1990,27,16,1549,17.2,2,3,2,0,0,0,0,0.12,0.17,0.29,0.12,0.29,1.3,1.3,2.4,3.7,0.08,0.14,0.21,0.08,0.21,Matches
426,Iñigo Pérez\bc61cc65,es ESP,MFDF,Osasuna,32,1988,22,16,1347,15.0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,1.1,0.03,0.04,0.07,0.03,0.07,Matches
427,Juan Pérez\8f29e08b,es ESP,GK,Osasuna,24,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
428,Kike Pérez\237a3851,es ESP,MF,Valladolid,23,1997,24,12,1159,12.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.0,2.0,0.08,0.08,0.15,0.08,0.15,Matches
429,Lucas Pérez\a300ac7e,es ESP,FW,Alavés,31,1988,28,19,1759,19.5,4,4,1,3,4,1,0,0.20,0.20,0.41,0.05,0.26,6.5,3.5,4.8,8.3,0.33,0.25,0.58,0.18,0.42,Matches
430,Luis Pérez\b7c04927,es ESP,DF,Valladolid,25,1995,22,15,1297,14.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
431,Nehuén Pérez\f7c491f1,ar ARG,DF,Granada,20,2000,14,9,741,8.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.09,0.00,0.09,0.09,0.09,Matches
432,Pablo Piatti\48e89655,ar ARG,MFFW,Elche,31,1989,9,3,361,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.12,0.08,0.20,0.12,0.20,Matches
433,Cristiano Piccini\32c0491f,it ITA,DF,Valencia,27,1992,3,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
434,Tomás Pina Isla\e54bd0a2,es ESP,MF,Alavés,32,1987,33,31,2575,28.6,1,1,1,0,0,12,0,0.03,0.03,0.07,0.03,0.07,0.5,0.5,0.6,1.1,0.02,0.02,0.04,0.02,0.04,Matches
435,Yeremi Pino\540ec57b,es ESP,FWMF,Villarreal,17,2002,24,6,797,8.9,3,1,3,0,0,4,0,0.34,0.11,0.45,0.34,0.45,1.5,1.5,0.9,2.3,0.16,0.10,0.26,0.16,0.26,Matches
436,Gerard Piqué\adfc9123,es ESP,DF,Barcelona,33,1987,18,18,1481,16.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.1,0.04,0.03,0.07,0.04,0.07,Matches
437,Miralem Pjanić\ad6df2d5,ba BIH,MF,Barcelona,30,1990,19,6,627,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.0,2.2,0.17,0.14,0.31,0.17,0.31,Matches
438,Óscar Plano\7c388b20,es ESP,MFFW,Valladolid,29,1991,36,30,2517,28.0,5,5,5,0,0,1,1,0.18,0.18,0.36,0.18,0.36,4.3,4.3,1.6,5.9,0.15,0.06,0.21,0.15,0.21,Matches
439,Dani Plomer\0d298637,es ESP,FW,Granada,21,1998,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
440,Jorge Pombo\0a8bcb23,es ESP,FWMF,Cádiz,26,1994,12,5,523,5.8,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,1.3,1.3,0.4,1.7,0.23,0.07,0.29,0.23,0.29,Matches
441,Pere Pons\29b61deb,es ESP,MF,Alavés,27,1993,22,12,1186,13.2,2,0,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,0.8,0.8,1.5,2.4,0.06,0.12,0.18,0.06,0.18,Matches
442,Francisco Portillo\8e010ff4,es ESP,MFFW,Getafe,30,1990,16,3,418,4.6,0,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.0,0.0,0.5,0.5,0.00,0.10,0.10,0.00,0.10,Matches
